,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
1681.0,공중화장실,"""""",상도근린공원 공중화장실,서울특별시 동작구 상도동 산64-56,"""""",1,0,0,0,0,0,1,0,0,동작구청소행정과,"""02-820-9143""","""""",00:00~24:00,"""""",0.0,0.0,공공기관-지방자치단체,수세식,N,Y,남자화장실+여자화장실,N,N,"""""","""""",2022-01-31
1682.0,공중화장실,"""""",주차공원 공중화장실,서울특별시 동작구 현충로 220,"""""",4,5,1,0,1,1,9,1,0,동작구청소행정과,"""02-820-9143""","""""",00:00~24:00,"""""",37.5030670046351,126.977937122017,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,"""""",2022-01-31
1683.0,공중화장실,"""""",현충원 공중화장실,서울특별시 동작구 산45-1,"""""",2,3,1,0,0,0,4,1,0,동작구청소행정과,"""02-820-9143""","""""",00:00~24:00,"""""",0.0,0.0,공공기관-지방자치단체,수세식,N,Y,장애인화장실+여자화장실,N,Y,남자화장실,"""""",2022-01-31
1684.0,개방화장실,"""""",나누리병원,서울특별시 언주로 731,"""""",5,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00`23:00,"""""",37.5203066071262,127.033979290041,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1685.0,개방화장실,"""""",보전빌딩,서울특별시 언주로 725 (논현동),"""""",6,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00~22:00,"""""",37.5192980678283,127.034451103421,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1686.0,개방화장실,"""""",송암빌딩,서울특별시 언주로 709 (논현동),"""""",7,0,0,0,0,0,0,0,0,개인,"""""","""""",08:00~24:00,"""""",37.5167914281654,127.034922771545,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1687.0,개방화장실,"""""",두산빌딩,서울특별시 언주로 726 (논현동),"""""",6,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00~21:00,"""""",37.5193816410498,127.035197500084,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1688.0,개방화장실,"""""",헤리츠타워(컨벤션헤리츠),서울특별시 논현로 662,"""""",7,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00~23:00,"""""",37.5132399133918,127.031497854898,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1689.0,개방화장실,"""""",마샬빌딩(강남지인병원),서울특별시 언주로631,"""""",3,0,0,0,0,0,0,0,0,개인,"""""","""""",상시,"""""",37.5128025510754,127.03506818071,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1690.0,개방화장실,"""""",SK힐탑 주유소,서울특별시 논현로 640 (논현동),"""""",3,0,0,0,0,0,0,0,0,개인,"""""","""""",상시,"""""",37.5107346951545,127.032734745238,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1691.0,개방화장실,"""""",팍스타워,서울특별시 언주로 609 (논현동),"""""",8,0,0,0,0,0,0,0,0,개인,"""""","""""",상시,"""""",37.5099425446578,127.036678130998,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1692.0,개방화장실,"""""",파크랜드빌딩,서울특별시 언주로 601 (논현동),"""""",6,0,0,0,0,0,0,0,0,개인,"""""","""""",05:00~19:00,"""""",37.5088631539282,127.037780922475,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1693.0,개방화장실,"""""",SK 허브블루,서울특별시 학동로 342,"""""",4,0,0,0,0,0,0,0,0,개인,"""""","""""",상시,"""""",37.5167560126387,127.040841265738,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1694.0,개방화장실,"""""",G빌딩(펀비어킹),서울특별시 언주로 134길 19,"""""",3,0,0,0,0,0,0,0,0,개인,"""""","""""",13:00~26:00,"""""",37.5169531022946,127.03717282121,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1695.0,개방화장실,"""""",그랑프리엔,서울특별시 남부순환로 2912 (대치동),"""""",9,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00~24:00,"""""",37.4907059879875,127.056142941592,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1696.0,개방화장실,"""""",선경상가,서울특별시 삼성로 151,"""""",10,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00~24:00,"""""",37.493154981993,127.062999980103,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1697.0,개방화장실,"""""",윈플러스상가,서울특별시 남부순환로 2936 (대치동),"""""",8,0,0,0,0,0,0,0,0,개인,"""""","""""",상시,"""""",37.4933489108525,127.06191661451,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1698.0,개방화장실,"""""",대치풍림빌딩,서울특별시 남부순환로 2942 (대치동),"""""",7,0,0,0,0,0,0,0,0,개인,"""""","""""",05:30~24:00,"""""",37.4936457600425,127.062321346803,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1699.0,개방화장실,"""""",대치퍼스트빌딩,서울특별시 삼성로155(대치동),"""""",8,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00`24:00,"""""",37.4938813994708,127.062951852624,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1700.0,개방화장실,"""""",카이로스빌딩,서울특별시 삼성로51길11 (대치동),"""""",7,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00~24:00,"""""",37.49629417224,127.060603087334,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1701.0,개방화장실,"""""",대치클래시아,서울특별시 남부순환로 2927(대치동),"""""",7,0,0,0,0,0,0,0,0,개인,"""""","""""",상시,"""""",37.4936757916501,127.060358414855,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1702.0,개방화장실,"""""",남서울종합시장,서울특별시 남부순환로2921(대치동),"""""",14,0,0,0,0,0,0,0,0,개인,"""""","""""",정시,"""""",37.4934943562011,127.059772967826,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1703.0,개방화장실,"""""",청실종합상가,서울특별시 남부순환로 2917 (대치동),"""""",10,0,0,0,0,0,0,0,0,개인,"""""","""""",상시,"""""",37.4931666957307,127.059164905458,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1704.0,개방화장실,"""""",우일상가,서울특별시 남부순환로 2915 (대치동),"""""",5,0,0,0,0,0,0,0,0,개인,"""""","""""",08:00~익일01:01,"""""",37.4929375328456,127.058877843379,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1705.0,개방화장실,"""""",동하빌딩,서울특별시 남부순환로 2913 (대치동),"""""",7,0,0,0,0,0,0,0,0,개인,"""""","""""",05:00~24:00,"""""",37.492752188617,127.058529415562,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1706.0,개방화장실,"""""",㈜동하개발 메디컬센터,서울특별시 남부순환로 397길 57 (대치동),"""""",5,0,0,0,0,0,0,0,0,개인,"""""","""""",05:00~24:00,"""""",37.4930515273501,127.058298289251,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1707.0,개방화장실,"""""",성은교회,서울특별시 남부순환로391길 25 (대치동),"""""",12,0,0,0,0,0,0,0,0,개인,"""""","""""",05:00~21:00,"""""",37.4935290951987,127.05655994469,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1708.0,개방화장실,"""""",여천빌딩,서울특별시 남부순환로 2909 (대치동),"""""",6,0,0,0,0,0,0,0,0,개인,"""""","""""",07:00~24:00,"""""",37.4921823099018,127.057410744328,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1709.0,개방화장실,"""""",청우빌딩,서울특별시 남부순환로 2911(대치동),"""""",7,0,0,0,0,0,0,0,0,개인,"""""","""""",07:00~24:00,"""""",37.4924293701626,127.05795597031,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1710.0,개방화장실,"""""",대치삼성(아) 상가,서울특별시 도곡로78길 22(대치동),"""""",5,0,0,0,0,0,0,0,0,개인,"""""","""""",상시,"""""",37.4966357303128,127.0588476129,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1711.0,개방화장실,"""""",강남메이저의원(구 미즈메디병원),서울특별시 도곡로 452 (대치동),"""""",3,0,0,0,0,0,0,0,0,개인,"""""","""""",07:30~19:00,"""""",37.4981119857603,127.060008815305,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1712.0,개방화장실,"""""",D'mark빌딩,서울특별시 도곡로 408 (대치동),"""""",7,0,0,0,0,0,0,0,0,개인,"""""","""""",06:00~24:00,"""""",37.4966225187716,127.055233195315,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1713.0,개방화장실,"""""",쌍용(아)종합 상가,서울특별시 영동대로 210 (대치동),"""""",6,0,0,0,0,0,0,0,0,개인,"""""","""""",05:00~11:00,"""""",37.4988556676427,127.071367051995,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1714.0,개방화장실,법제3조제17호-영제3조제2항제1호,선릉 대림아크로텔,"서울특별시 강남구 선릉로 524, 선릉대림아크로텔 (삼성동)",서울특별시 강남구 삼성동 140-3 선릉대림아크로텔,3,4,1,1,0,0,5,0,0,민간,"""02-3452-3100""",상시,"""""",2023-04,37.50665507,127.0483862,민간소유-개인,수세식,N,N,"""""",N,N,"""""","""""",2023-04-01
1715.0,개방화장실,법제3조제17호-영제3조제2항제3호,한우리교회,"서울특별시 강남구 강남대로54길 10, 교회 (도곡동)",서울특별시 강남구 도곡동 948 교회,4,7,0,0,0,0,8,0,0,민간,"""02-3462-9191""",정시,06:00~18:00,2023-06,37.488072,127.0335538,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-06-01
1716.0,개방화장실,법제3조제17호-영제3조제2항제1호,흥창빌딩,서울특별시 강남구 도산대로1길 24 (신사동),서울특별시 강남구 신사동 510,6,4,1,0,0,0,7,1,0,민간,"""""",상시,"""""","""""",37.51827119,127.0199871,민간소유-개인,수세식,N,N,"""""",N,N,"""""","""""",2023-08-18
1717.0,개방화장실,법제3조제17호-영제3조제2항제1호,엘슨빌딩,"서울특별시 강남구 봉은사로 628, ELSON빌딩 (삼성동)",서울특별시 강남구 삼성동 162-2 ELSON빌딩,1,1,0,0,0,0,1,0,0,민간,"""""",정시,07:00~22:00,"""""",37.5146694627537,127.064164448221,민간소유-개인,수세식,N,N,"""""",N,N,"""""","""""",2023-04-30
1718.0,개방화장실,법제3조제17호-영제3조제2항제3호,한우리 비전센타,서울특별시 강남구 강남대로54길 9 (도곡동),서울특별시 강남구 도곡동 946-20,2,2,0,0,0,0,2,0,0,민간,"""02-3462-9191""",정시,06:00~18:00,2023-06,37.48846759,127.0333798,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-06-01
1719.0,개방화장실,"""""",세일빌딩,서울특별시 학동로2길 19(논현동),"""""",5,0,0,0,0,0,0,0,0,개인,"""""","""""",07:00~24:00,"""""",37.5100607055782,127.022960047655,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,"""""",N,N,"""""","""""",2022-11-28
1720.0,개방화장실,법제3조제16호-영제3조제1항제1호,성수2가3동주민센터 화장실,서울특별시 성동구 광나루로2길 35,서울특별시 성동구 성수동2가 299-240,1,1,1,0,0,0,2,1,0,서울특별시 성동구청 자치행정과,"""02-2286-7482""",정시,09:00~18:00,2007-01,37.54823,127.05515,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,"""""",2023-12-20
1721.0,개방화장실,법제3조제16호-영제3조제1항제1호,왕십리도선동주민센터,서울특별시 성동구 마장로 141(상왕십리동),서울특별시 성동구 상왕십리동 813,7,10,2,0,0,1,18,2,0,서울특별시 성동구청 자치행정과,"""02-2286-7202""",정시,09:00~18:00,2013-10,37.567881,127.025529,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,Y,Y,여자화장실,"""""",2023-12-20
1722.0,개방화장실,법제3조제16호-영제3조제1항제1호,용답동주민센터,"서울특별시 성동구 용답중앙23길 20, 용답동주민센터 (용답동)",서울특별시 성동구 용답동 5-6 용답동주민센터,7,0,0,0,0,6,0,0,0,주민센터,"""""",정시,09:00~18:00,"""""",37.5640678106196,127.055568294109,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,"""""","""""",2023-12-20
1723.0,개방화장실,법제3조제16호-영제3조제1항제1호,성수2가제1동주민센터,"서울특별시 성동구 뚝섬로 385-19, 성수2가제1동주민센터 (성수동2가)",서울특별시 성동구 성수동2가 333-134 성수2가제1동주민센터,4,0,0,0,0,6,0,0,0,주민센터,"""""",정시,09:00~18:00,"""""",37.5395409267715,127.05402325067,공공기관-지방자치단체,수세식,Y,N,"""""",N,N,"""""","""""",2023-12-20
1724.0,개방화장실,법제3조제16호-영제3조제1항제1호,사근동공공복합청사,"서울특별시 성동구 사근동길 37, 사근동 공공복합청사 (사근동)",서울특별시 성동구 사근동 223-22 사근동 공공복합청사,9,1,0,1,1,13,1,1,0,청사관리소,"""02-2204-6675""",정시,09:00~18:00,"""""",37.5614995718917,127.045325973415,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2023-12-20
1725.0,개방화장실,법제3조제16호-영제3조제1항제1호,"금호2,3가동주민센터","서울특별시 성동구 무수막18길 1, 금호2-3가동 주민센터 (금호동2가)",서울특별시 성동구 금호동2가 1212 금호2-3가동 주민센터,12,0,0,0,0,12,0,0,0,주민센터,"""""",정시,09:00~18:00,"""""",37.5532352564893,127.020958746923,공공기관-지방자치단체,수세식,Y,N,"""""",Y,N,"""""","""""",2023-12-20
1726.0,개방화장실,법제3조제16호-영제3조제1항제1호,성동세무서 공중화장실,서울특별시 성동구 광나루로 297,서울특별시 성동구 송정동 67-6,2,2,1,0,0,0,4,1,0,서울특별시 성동구청 복지정책과,"""02-460-4245""",정시,09:00~18:00,2012-10,37.5485015180617,127.062818735366,공공기관-국가공공기관,수세식,Y,N,"""""",Y,Y,여자화장실,"""""",2023-12-20
1727.0,개방화장실,법제3조제16호-영제3조제1항제1호,성동안심상가 화장실,서울특별시 성동구 성수일로12길 20,서울특별시 성동구 성수동2가 284-22,20,21,1,7,0,0,28,1,0,서울특별시 성동구청 지속발전도시과,"""02-2286-5114""",정시,08:00~22:00,2018-06,37.54811,127.0533,공공기관-지방자치단체,수세식,Y,N,"""""",N,N,"""""","""""",2023-12-20
1728.0,개방화장실,법제3조제16호-영제3조제1항제1호,대림강변타운 상가,서울특별시 성동구 고산자로 160,서울특별시 성수동1가 656-292,4,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,07:00~19:00,"""""",37.5543691154446,127.034875565118,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1729.0,개방화장실,법제3조제16호-영제3조제1항제1호,성동샤르망 오피스텔,서울특별시 성동구 고산자로 284,서울특별시 행당동 192-29,3,3,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,07:00~19:00,"""""",37.5649128994423,127.036797652702,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1730.0,개방화장실,법제3조제16호-영제3조제1항제1호,서울에너지주유소,서울특별시 성동구 성수일로 77,서울특별시 성수동1가 13-170,3,3,0,0,0,0,6,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,07:00~19:00,"""""",37.5474049437892,127.050343491959,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1731.0,개방화장실,법제3조제16호-영제3조제1항제1호,서울숲IT밸리,서울특별시 성동구 천호대로 324,서울특별시 용답동 5-4,0,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,07:00~19:00,"""""",37.5642325005189,127.055594222988,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1732.0,개방화장실,법제3조제16호-영제3조제1항제1호,한강화장실 뚝섬16 화장실,서울특별시 성동구 강변북로 360,서울특별시 성동구 성수2가제1동 623제,1,0,0,0,0,0,1,0,0,미래한강본부,"""""",상시,06:00~23:00,2014-01,37.5347789596355,127.052626809821,공공기관-국가공공기관,수세식,Y,Y,여자화장실,N,N,"""""","""""",2023-12-20
1733.0,개방화장실,법제3조제16호-영제3조제1항제1호,한강화장실 뚝섬17 화장실,서울특별시 성동구 옥수동 494-1천,서울특별시 성동구 옥수동 494-1천,1,1,0,0,0,0,1,0,0,미래한강본부,"""""",상시,06:00~23:00,2016-01,37.5408629514885,127.032712722459,공공기관-국가공공기관,수거식,Y,N,"""""",N,N,"""""","""""",2023-12-20
1734.0,개방화장실,법제3조제16호-영제3조제1항제1호,한강화장실 이촌1 화장실,서울특별시 성동구 금호동4가 1523-2천,서울특별시 성동구 금호동4가 1523-2천,1,1,0,0,0,0,2,1,0,미래한강본부,"""""",상시,06:00~23:00,2021-01,37.5437400453976,127.024429627693,공공기관-국가공공기관,수세식,Y,Y,여자화장실,N,N,"""""","""""",2023-12-20
1735.0,개방화장실,법제3조제16호-영제3조제1항제1호,한강화장실 이촌2 화장실,서울특별시 성동구 옥수동 490-7천,서울특별시 성동구 옥수동 490-7천,1,1,0,0,0,0,2,1,0,미래한강본부,"""""",상시,06:00~23:00,2021-01,37.5403611178994,127.019036335736,공공기관-국가공공기관,수세식,Y,Y,여자화장실,N,N,"""""","""""",2023-12-20
1736.0,개방화장실,법제3조제16호-영제3조제1항제1호,금호초 공영주차장 화장실,서울특별시 성동구 무수막길69,서울특별시 성동구,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 교통지도과,"""""",상시,06:00~23:00,"""""",37.5518979414195,127.020752859362,공공기관-국가공공기관,수세식,Y,N,"""""",N,N,"""""","""""",2023-12-20
1737.0,개방화장실,법제3조제16호-영제3조제1항제1호,송정동 공영주차장 화장실,서울특별시 성동구 동일로 199,서울특별시 성동구,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 교통지도과,"""""",상시,06:00~23:00,"""""",37.5499635408815,127.068070141584,공공기관-국가공공기관,수세식,Y,N,"""""",N,N,"""""","""""",2023-12-20
1738.0,개방화장실,법제3조제16호-영제3조제1항제1호,마장동 공영주차장 화장실,서울특별시 성동구 청계천로10나길 38,서울특별시 성동구,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 교통지도과,"""""",상시,06:00~23:00,"""""",37.5699311422586,127.035132415559,공공기관-국가공공기관,수세식,Y,N,"""""",N,N,"""""","""""",2023-12-20
1739.0,개방화장실,법제3조제16호-영제3조제1항제1호,성동현대주유소,"서울특별시 성동구 마장로 311, 신원주유소 (마장동)",서울특별시 성동구 마장동 771-6 신원주유소,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,05~24시간,"""""",37.5670168870809,127.04372064792,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1740.0,개방화장실,법제3조제16호-영제3조제1항제1호,성수연방,"서울특별시 성동구 성수이로14길 14, (주)대명케미칼 (성수동2가)",서울특별시 성동구 성수동2가 322-4 (주)대명케미칼,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,2022-10,37.5414046395821,127.056911897898,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1741.0,개방화장실,법제3조제16호-영제3조제1항제1호,성수주유소,서울특별시 성동구 뚝섬로 352 (성수동1가),서울특별시 성동구 성수동1가 33-96,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5400047737799,127.049900172954,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1742.0,개방화장실,법제3조제16호-영제3조제1항제1호,세원주유소,서울특별시 성동구 광나루로 184 (성수동1가),서울특별시 성동구 성수동1가 13-11,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,07:00~23:00,"""""",37.5508602334419,127.050436462226,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1743.0,개방화장실,법제3조제16호-영제3조제1항제1호,순복음교회 성동성전,"서울특별시 성동구 천호대로 316, 순복음교회 성동성전 (용답동)",서울특별시 성동구 용답동 1-4 순복음교회 성동성전,1,3,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,07:00~23:00,"""""",37.564699291478,127.054856135668,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1744.0,개방화장실,법제3조제16호-영제3조제1항제1호,신세계오피스텔,"서울특별시 성동구 행당로 6, 신세계오피스텔 (금호동1가)",서울특별시 성동구 금호동1가 481-5 신세계오피스텔,1,1,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,07:00~23:00,"""""",37.5544764185936,127.020746218188,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1745.0,개방화장실,법제3조제16호-영제3조제1항제1호,아이콘주유소,"서울특별시 성동구 고산자로 273, 도선현대주유소 (도선동)",서울특별시 성동구 도선동 2-4 도선현대주유소,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5641000137371,127.035942695235,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1746.0,개방화장실,법제3조제16호-영제3조제1항제1호,영동테크노타워,"서울특별시 성동구 아차산로 103, 영동테크노타워 (성수동2가)",서울특별시 성동구 성수동2가 300-4 영동테크노타워,2,3,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.545048444535,127.055814549422,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1747.0,개방화장실,법제3조제16호-영제3조제1항제1호,옥수동성당,"서울특별시 성동구 독서당로 207, 옥수동성당 (옥수동)",서울특별시 성동구 옥수동 566 옥수동성당,3,3,0,0,0,0,6,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5438291500304,127.013910468016,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1748.0,개방화장실,법제3조제16호-영제3조제1항제1호,옥수리버젠상가 화장실,"서울특별시 성동구 독서당로 223, 래미안 옥수 리버젠 상가 (옥수동)",서울특별시 성동구 옥수동 561 래미안 옥수 리버젠 상가,4,4,0,0,0,0,4,2,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5442707521164,127.015191933825,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1749.0,개방화장실,법제3조제16호-영제3조제1항제1호,옥수주유소,서울특별시 성동구 독서당로 168 (옥수동),서울특별시 성동구 옥수동 449-5,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5408496346983,127.011382906693,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1750.0,개방화장실,법제3조제16호-영제3조제1항제1호,왕십리천주교회,"서울특별시 성동구 무학로10길 21, 왕십리천주교회 (홍익동)",서울특별시 성동구 홍익동 236 왕십리천주교회,2,2,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5662603501179,127.033427978699,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1751.0,개방화장실,법제3조제16호-영제3조제1항제1호,우인빌딩,서울특별시 성동구 왕십리로 339 (하왕십리동),서울특별시 성동구 하왕십리동 966-2,1,1,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,07:00~23:00,"""""",37.5629076652687,127.032085242674,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1752.0,개방화장실,법제3조제16호-영제3조제1항제1호,응봉대림1차 노변상가,"서울특별시 성동구 독서당로 398, 노선상가 (응봉동)",서울특별시 성동구 응봉동 100 노선상가,1,2,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5508015548469,127.032228979302,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1753.0,개방화장실,법제3조제16호-영제3조제1항제1호,이영빌딩,서울특별시 성동구 동일로 41 (성수동2가),서울특별시 성동구 성수동2가 235-1,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5369328649047,127.060577576886,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
1754.0,개방화장실,법제3조제16호-영제3조제1항제1호,장안빌딩,"서울특별시 성동구 천호대로 320, 장안빌딩 (용답동)",서울특별시 성동구 용답동 2-3 장안빌딩,2,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5644063396101,127.055131191391,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1755.0,개방화장실,법제3조제16호-영제3조제1항제1호,정호주유소,서울특별시 성동구 고산자로 303 (마장동),서울특별시 성동구 마장동 573-1,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5668477904413,127.036500686831,민간소유-법인,수세식,N,N,"""""",N,N,"""""","""""",2023-12-20
1756.0,개방화장실,법제3조제16호-영제3조제1항제1호,청계로주유소,"서울특별시 성동구 청계천로 454, 청계주유소 (하왕십리동)",서울특별시 성동구 하왕십리동 291-9 청계주유소,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,"""""",상시,00:00~24:00,"""""",37.5700413114581,127.027391824017,민간소유-법인,수세식,N,N,"""""",Y,N,"""""","""""",2023-12-20
